year,RCP26,RCP45,RCP60,RCP85
2005,378.812,378.812,378.812,378.812
2006,380.9066,380.8752,380.864,380.9144
2007,383.0012,382.9384,382.916,383.0168
2008,385.0958,385.0016,384.968,385.1192
2009,387.1904,387.0648,387.02,387.2216
2010,389.285,389.128,389.072,389.324
2011,391.5633,391.3281,391.1008,391.9696
2012,393.8416,393.5282,393.1296,394.6152
2013,396.1199,395.7283,395.1584,397.2608
2014,398.3982,397.9284,397.1872,399.9064
2015,400.6765,400.1285,399.216,402.552
2016,402.9548,402.3286,401.2448,405.1976
2017,405.2331,404.5287,403.2736,407.8432
2018,407.5114,406.7288,405.3024,410.4888
2019,409.7897,408.9289,407.3312,413.1344
2020,412.068,411.129,409.36,415.78
2021,413.9395,413.5207,411.3116,419.0855
2022,415.811,415.9124,413.2632,422.391
2023,417.6825,418.3041,415.2148,425.6965
2024,419.554,420.6958,417.1664,429.002
2025,421.4255,423.0875,419.118,432.3075
2026,423.297,425.4792,421.0696,435.613
2027,425.1685,427.8709,423.0212,438.9185
2028,427.04,430.2626,424.9728,442.224
2029,428.9115,432.6543,426.9244,445.5295
2030,430.783,435.046,428.876,448.835
2031,431.7269,437.6259,431.0582,452.895
2032,432.6708,440.2058,433.2404,456.955
2033,433.6147,442.7857,435.4226,461.015
2034,434.5586,445.3656,437.6048,465.075
2035,435.5025,447.9455,439.787,469.135
2036,436.4464,450.5254,441.9692,473.195
2037,437.3903,453.1053,444.1514,477.255
2038,438.3342,455.6852,446.3336,481.315
2039,439.2781,458.2651,448.5158,485.375
2040,440.222,460.845,450.698,489.435
2041,440.4698,463.414,453.3952,494.5458
2042,440.7176,465.983,456.0924,499.6566
2043,440.9654,468.552,458.7896,504.7674
2044,441.2132,471.121,461.4868,509.8782
2045,441.461,473.69,464.184,514.989
2046,441.7088,476.259,466.8812,520.0998
2047,441.9566,478.828,469.5784,525.2106
2048,442.2044,481.397,472.2756,530.3214
2049,442.4522,483.966,474.9728,535.4322
2050,442.7,486.535,477.67,540.543
2051,442.5973,488.7686,480.9664,546.8407
2052,442.4946,491.0022,484.2628,553.1384
2053,442.3919,493.2358,487.5592,559.4361
2054,442.2892,495.4694,490.8556,565.7338
2055,442.1865,497.703,494.152,572.0315
2056,442.0838,499.9366,497.4484,578.3292
2057,441.9811,502.1702,500.7448,584.6269
2058,441.8784,504.4038,504.0412,590.9246
2059,441.7757,506.6374,507.3376,597.2223
2060,441.673,508.871,510.634,603.52
2061,441.2538,510.4141,514.5526,610.8758
2062,440.8346,511.9572,518.4712,618.2316
2063,440.4154,513.5003,522.3898,625.5874
2064,439.9962,515.0434,526.3084,632.9432
2065,439.577,516.5865,530.227,640.299
2066,439.1578,518.1296,534.1456,647.6548
2067,438.7386,519.6727,538.0642,655.0106
2068,438.3194,521.2158,541.9828,662.3664
2069,437.9002,522.7589,545.9014,669.7222
2070,437.481,524.302,549.82,677.078
2071,436.8946,524.9856,554.2637,685.1884
2072,436.3082,525.6692,558.7074,693.2988
2073,435.7218,526.3528,563.1511,701.4092
2074,435.1354,527.0364,567.5948,709.5196
2075,434.549,527.72,572.0385,717.63
2076,433.9626,528.4036,576.4822,725.7404
2077,433.3762,529.0872,580.9259,733.8508
2078,432.7898,529.7708,585.3696,741.9612
2079,432.2034,530.4544,589.8133,750.0716
2080,431.617,531.138,594.257,758.182
2081,431.0558,531.3983,598.3962,766.8443
2082,430.4946,531.6586,602.5354,775.5066
2083,429.9334,531.9189,606.6746,784.1689
2084,429.3722,532.1792,610.8138,792.8312
2085,428.811,532.4395,614.953,801.4935
2086,428.2498,532.6998,619.0922,810.1558
2087,427.6886,532.9601,623.2314,818.8181
2088,427.1274,533.2204,627.3706,827.4804
2089,426.5662,533.4807,631.5098,836.1427
2090,426.005,533.741,635.649,844.805
2091,425.494,534.2027,639.0564,853.9119
2092,424.983,534.6644,642.4638,863.0188
2093,424.472,535.1261,645.8712,872.1257
2094,423.961,535.5878,649.2786,881.2326
2095,423.45,536.0495,652.686,890.3395
2096,422.939,536.5112,656.0934,899.4464
2097,422.428,536.9729,659.5008,908.5533
2098,421.917,537.4346,662.9082,917.6602
2099,421.406,537.8963,666.3156,926.7671
2100,420.895,538.358,669.723,935.874