year,co2_ppm_RCP26,co2_ppm_RCP45,co2_ppm_RCP60,co2_ppm_RCP85,co2_erf_RCP26,co2_erf_RCP45,co2_erf_RCP60,co2_erf_RCP85,tot_anthro_erf_RCP26,tot_anthro_erf_RCP45,tot_anthro_erf_RCP60,tot_anthro_erf_RCP85
2000,368.9,368.9,368.9,368.9,1.51,1.51,1.51,1.51,1.45,1.45,1.45,1.45
2010,389.3,389.1,389.1,389.3,1.80,1.80,1.80,1.80,1.81,1.81,1.78,1.84
2020,412.1,411.1,409.4,415.8,2.11,2.09,2.07,2.15,2.25,2.25,2.15,2.32
2030,430.8,435.0,428.9,448.8,2.34,2.40,2.32,2.56,2.52,2.67,2.52,2.91
2040,440.2,460.8,450.7,489.4,2.46,2.70,2.58,3.03,2.65,3.07,2.82,3.61
2050,442.7,486.5,477.7,540.5,2.49,2.99,2.90,3.56,2.64,3.42,3.20,4.37
2060,441.7,508.9,510.6,603.5,2.48,3.23,3.25,4.15,2.55,3.67,3.58,5.13
2070,437.5,524.3,549.8,677.1,2.43,3.39,3.65,4.76,2.47,3.84,4.11,5.89
2080,431.6,531.1,594.3,758.2,2.35,3.46,4.06,5.37,2.41,3.90,4.60,6.60
2090,426.0,533.7,635.6,844.8,2.28,3.49,4.42,5.95,2.35,3.91,4.93,7.32
2100,420.9,538.4,669.7,935.9,2.22,3.54,4.70,6.49,2.30,3.94,5.15,7.97